,ottomaass-230-9__mcgill-standard__otto-mass-119-230,ottomaass-230-16__mcgill-standard__otto-mass-119-230,ottomaass-230-13__mcgill-standard__otto-mass-119-230,ottomaass-230-8__mcgill-standard__otto-mass-119-230,ottomaass-230-16__mcgill-standard__otto-mass-119-230,ottomaass-230-4__mcgill-standard__otto-mass-119-230,ottomaass-230-18__mcgill-standard__otto-mass-119-230,ottomaass-230-13__mcgill-standard__otto-mass-119-230,ottomaass-230-2__mcgill-standard__otto-mass-119-230,ottomaass-230-9__mcgill-standard__otto-mass-119-230,ottomaass-230-2__mcgill-standard__otto-mass-119-230,ottomaass-230-9__mcgill-standard__otto-mass-119-230,ottomaass-230-16__mcgill-standard__otto-mass-119-230,ottomaass-230-16__mcgill-standard__otto-mass-119-230,ottomaass-230-9__mcgill-standard__otto-mass-119-230
2013-10-27 12:30:00-05:00,200.0,200.0,354.46875000000006,200.0,200.0,200.0,,212.68125000000003,200.0,200.0,200.0,200.0,200.0,200.0,200.0
2013-10-27 13:00:00-05:00,200.0,200.0,212.68125000000003,200.0,200.0,200.0,,354.46875000000006,200.0,200.0,200.0,200.0,200.0,200.0,200.0
2013-10-27 13:30:00-05:00,200.0,200.0,354.46875000000006,200.0,200.0,200.0,,212.68125000000003,200.0,200.0,200.0,200.0,200.0,200.0,200.0
2013-10-27 14:00:00-05:00,200.0,200.0,354.46875000000006,237.62500000000006,200.0,200.0,,354.46875000000006,200.0,200.0,200.0,200.0,200.0,200.0,200.0
2013-10-27 14:30:00-05:00,200.0,200.0,212.68125000000003,237.62500000000006,200.0,200.0,,354.46875000000006,200.0,200.0,200.0,200.0,200.0,200.0,200.0
2013-10-27 15:00:00-05:00,200.0,200.0,212.68125000000003,200.0,200.0,200.0,,354.46875000000006,200.0,200.0,200.0,200.0,200.0,200.0,200.0
2013-10-27 15:30:00-05:00,200.0,200.0,354.46875000000006,200.0,200.0,200.0,,212.68125000000003,200.0,200.0,200.0,200.0,200.0,200.0,200.0
2013-10-27 16:00:00-05:00,200.0,200.0,212.68125000000003,200.0,200.0,200.0,,212.68125000000003,200.0,200.0,200.0,200.0,200.0,200.0,200.0
2013-10-27 16:30:00-05:00,200.0,200.0,212.68125000000003,200.0,200.0,200.0,,212.68125000000003,200.0,200.0,200.0,200.0,200.0,200.0,200.0
2013-10-27 17:00:00-05:00,200.0,200.0,212.68125000000003,200.0,200.0,200.0,,212.68125000000003,200.0,200.0,200.0,200.0,200.0,200.0,200.0
2013-10-27 17:30:00-05:00,200.0,200.0,212.68125000000003,200.0,200.0,200.0,,212.68125000000003,200.0,200.0,200.0,200.0,200.0,200.0,200.0
2013-10-27 18:00:00-05:00,200.0,200.0,212.68125000000003,200.0,200.0,200.0,,212.68125000000003,200.0,200.0,200.0,200.0,200.0,200.0,200.0
2013-10-27 18:30:00-05:00,200.0,200.0,212.68125000000003,200.0,200.0,200.0,,212.68125000000003,200.0,200.0,200.0,200.0,200.0,200.0,200.0
2013-10-27 19:00:00-05:00,200.0,200.0,212.68125000000003,200.0,200.0,200.0,,212.68125000000003,200.0,200.0,200.0,200.0,200.0,200.0,200.0
